"Etablissement";"Ville";"Code Etablissement";"Commune";"Secteur Public=PU Prive=PR";"Effectif Presents serie L";"Effectif Presents serie ES";"Effectif Presents serie S";"Effectif Presents serie STG";"Effectif Presents serie STI";"Effectif Presents serie STL";"Effectif Presents serie ST2S";"Effectif Presents serie Musiq Danse";"Effectif Presents serie Hotellerie";"Effectif Presents Total series";"Taux Brut de Reussite serie L";"Taux Brut de Reussite serie ES";"Taux Brut de Reussite serie S";"Taux Brut de Reussite serie STG";"Taux Brut de Reussite serie STI";"Taux Brut de Reussite serie STL";"Taux Brut de Reussite serie ST2S";"Taux Brut de Reussite serie Musiq Danse";"Taux Brut de Reussite serie Hotellerie";"Taux Brut de Reussite Total series";"Taux Reussite Attendu/Acad serie L";"Taux Reussite Attendu/Acad serie ES";"Taux Reussite Attendu/Acad serie S";"Taux Reussite Attendu/Acad serie STG";"Taux Reussite Attendu/Acad serie STI";"Taux Reussite Attendu/Acad serie STL";"Taux Reussite Attendu/Acad serie ST2S";"Taux Reussite Attendu/Acad serie Musiq Danse";"Taux Reussite Attendu/Acad serie Hotellerie";"Taux Reussite Attendu/Acad Total series";"Taux Reussite Attendu/France serie L";"Taux Reussite Attendu/France serie ES";"Taux Reussite Attendu/France serie S";"Taux Reussite Attendu/France serie STG";"Taux Reussite Attendu/France serie STI";"Taux Reussite Attendu/France serie STL";"Taux Reussite Attendu/France serie ST2S";"Taux Reussite Attendu/France serie Musiq Danse";"Taux Reussite Attendu/France serie Hotellerie";"Taux Reussite Attendu/France Total series";"Sructure pedagogique en 5 groupes";"%Bachel/sort. 2de+1re+Term. Etab.";"%Bachel/sort. Terminales Etab.";"%Bachel/sort. 2de+1re+Term. Acad.";"%Bachel/sort. Terminales Acad.";"%Bachel/sort. 2de+1re+Term. France";"%Bachel/sort. Terminales France";"Effectif de seconde";"Effectif de premiere";"Taux acces Brut seconde-BAC";"Taux acces Attendu/Acad seconde-BAC";"Taux acces Attendu/France seconde-BAC";"Taux acces Brut premiere-BAC";"Taux acces Attendu/Acad premiere-BAC";"Taux acces Attendu/France premiere-BAC";"Academie";"Departement"
"LYCEE STE CATHERINE DE SIENNE";"AIX EN PROVENCE";"0131320P";"13001";"PR";"8";"12";"9";" ";" ";" ";" ";" ";" ";"29";"100";"100";"89";".";".";".";".";".";".";"97";"86";"91";"72";".";".";".";".";".";".";"84";"91";"90";"77";".";".";".";".";".";".";"86";"1";"54";"97";"72";"92";"73";"96";"47";"44";"50";"74";"61";"74";"90";"85";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE STE MARIE";"AIX EN PROVENCE";"0133395V";"13001";"PR";" ";" ";" ";"41";" ";" ";" ";" ";" ";"41";".";".";".";"88";".";".";".";".";".";"88";".";".";".";"84";".";".";".";".";".";"84";".";".";".";"86";".";".";".";".";".";"86";"5";"53";"90";"72";"92";"74";"90";"20";"38";"14";"41";"54";"17";"60";"75";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE EMILE ZOLA";"AIX EN PROVENCE CEDEX";"0130001F";"13001";"PU";"43";"57";"120";"98";" ";" ";"52";" ";" ";"370";"86";"89";"89";"84";".";".";"83";".";".";"86";"87";"94";"87";"86";".";".";"82";".";".";"87";"86";"92";"86";"85";".";".";"77";".";".";"85";"2";"74";"88";"72";"92";"75";"92";"416";"443";"72";"66";"67";"83";"83";"81";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE NATIVITE (LA)";"AIX EN PROVENCE CEDEX";"0131319N";"13001";"PR";"14";"58";"100";" ";" ";" ";" ";" ";" ";"172";"100";"100";"99";".";".";".";".";".";".";"99";"99";"97";"97";".";".";".";".";".";".";"97";"97";"97";"97";".";".";".";".";".";".";"97";"1";"81";"100";"72";"92";"73";"96";"240";"220";"82";"81";"80";"94";"92";"92";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE ST ELOI";"AIX EN PROVENCE CEDEX";"0131391S";"13001";"PR";" ";" ";"24";" ";"40";" ";" ";" ";" ";"64";".";".";"67";".";"68";".";".";".";".";"67";".";".";"81";".";"78";".";".";".";".";"79";".";".";"77";".";"81";".";".";".";".";"80";"3";"53";"72";"72";"92";"72";"92";"53";"56";"34";"40";"37";"60";"64";"63";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE VAUVENARGUES";"AIX EN PROVENCE CEDEX";"0130003H";"13001";"PU";"41";"70";"181";" ";"129";" ";" ";" ";" ";"421";"100";"96";"95";".";"84";".";".";".";".";"92";"94";"93";"95";".";"88";".";".";".";".";"92";"88";"87";"91";".";"80";".";".";".";".";"87";"3";"71";"95";"72";"92";"72";"92";"487";"484";"68";"69";"69";"88";"86";"88";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE MONTMAJOUR";"ARLES";"0130010R";"13004";"PU";"21";"34";"48";"66";" ";" ";" ";" ";" ";"169";"95";"79";"96";"85";".";".";".";".";".";"88";"93";"89";"92";"85";".";".";".";".";".";"89";"90";"85";"89";"82";".";".";".";".";".";"86";"2";"77";"93";"72";"92";"75";"92";"212";"187";"76";"70";"69";"91";"86";"84";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE PASQUET";"ARLES";"0130011S";"13004";"PU";"39";"75";"131";" ";"69";" ";" ";" ";" ";"314";"67";"89";"85";".";"84";".";".";".";".";"83";"72";"92";"90";".";"86";".";".";".";".";"87";"76";"89";"89";".";"84";".";".";".";".";"86";"3";"73";"89";"72";"92";"72";"92";"355";"308";"71";"72";"66";"83";"88";"86";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE FREDERIC JOLIOT-CURIE";"AUBAGNE";"0131549N";"13005";"PU";"47";"108";"168";"104";" ";" ";" ";" ";" ";"427";"100";"94";"89";"88";".";".";".";".";".";"91";"89";"90";"85";"81";".";".";".";".";".";"86";"88";"86";"87";"79";".";".";".";".";".";"85";"2";"79";"97";"72";"92";"75";"92";"588";"510";"79";"69";"70";"91";"87";"85";"AIX-MARSEILLE";"BOUCHES DU RHONE"
"LYCEE STE MARIE";"AUBAGNE";"0132810J";"13005";"PR";"7";"29";"28";"26";" ";" ";" ";" ";" ";"90";"100";"100";"100";"100";".";".";".";".";".";"100";"97";"98";"98";"96";".";".";".";".";".";"97";"95";"98";"98";"95";".";".";".";".";".";"97";"2";"74";"100";"72";"92";"75";"92";"141";"105";"73";"80";"80";"90";"91";"91";"AIX-MARSEILLE";"BOUCHES DU RHONE"
